"case_id","engine_path","engine_file_version","generated_at","output_kind","output_file","output_sha256"
"qc_sza_0_solar","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:58.9607835+08:00","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_sza_0_solar\MODOUT1.txt","f910a17060ebbe7329d42dd0d74c5d82b15c0e48a0ea3663c08b9a5a03dce3dd"
"qc_sza_30_solar","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:59.0860674+08:00","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_sza_30_solar\MODOUT2.txt","cec2f848fcd34a462471d00dc2c4dc445011da50242da087aff8919952c36ab1"
"qc_sza_30_solar","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:59.0882609+08:00","tape7.scn","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_sza_30_solar\tape7.scn","2094e37634b1a9e30a7912419567f7c572e096bf2940309dfee8628b54662f6b"
"qc_sza_30_solar","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:59.0908560+08:00","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_sza_30_solar\MODOUT1.txt","d6b7d45016b4fc89724bfe2a3cc6f4146277810ed54a8ce803c2ba3c1279493c"
"qc_sza_45_solar","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:59.2460860+08:00","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_sza_45_solar\MODOUT2.txt","7b9d3cd88fd8d459aa8101104552a47a881fe50a91a3777bc98cfc2c9249dead"
"qc_sza_45_solar","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:59.2481832+08:00","tape7.scn","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_sza_45_solar\tape7.scn","eaa84836718bd0fc6c4972d996771b717d736f2392c101c93bb81251561e1795"
"qc_sza_45_solar","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:59.2502770+08:00","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_sza_45_solar\MODOUT1.txt","fb2b61f34bdd5c5f47526032b079b076d7eb9814292532ed396a7ad29322ed99"
"qc_sza_60_solar","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:59.3900328+08:00","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_sza_60_solar\MODOUT2.txt","4d51e374e2077c89f48d747f2c88f090694de3a5d87d7cc1e4936809618dc0b9"
"qc_sza_60_solar","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:59.3920181+08:00","tape7.scn","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_sza_60_solar\tape7.scn","abdebd934602b7c1e52c88eb68f9b61ed70ac56047658d04011005c2f5d86556"
"qc_sza_60_solar","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:59.3949979+08:00","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_sza_60_solar\MODOUT1.txt","64d57017c8c0bcada3089a325124369599aa16664fccc3c6261160f34a369859"
"qc_sza_75_solar","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:59.5473752+08:00","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_sza_75_solar\MODOUT2.txt","af3f67f2a3042579af59cb0dddc0ad195338dd94a429644f3a00c8304e0f18c1"
"qc_sza_75_solar","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:59.5495531+08:00","tape7.scn","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_sza_75_solar\tape7.scn","6ed69d54800be761ff94dec1f4aa2586dc8a2f1a1e7c23910a9f2e0664b002b5"
"qc_sza_75_solar","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:59.5539336+08:00","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_sza_75_solar\MODOUT1.txt","08d23ca49354f7727cf35d1778a71f9beb4676824180d91a5b948af2def696d8"
"qc_vis_10_thermal","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:59.6707710+08:00","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_vis_10_thermal\MODOUT2.txt","5cb5cdd68a95dcbb63ec8f39bc84d5d6be03fb5549fc0143cade468febf8a06e"
"qc_vis_10_thermal","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:59.6762500+08:00","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_vis_10_thermal\MODOUT1.txt","b536aa75ac56725423e769bad82cf05d142814308a941a3096690fbcc3ba0f46"
"qc_vis_10_trans","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:59.7893708+08:00","tape7","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_vis_10_trans\MODOUT2.txt","534367728df264d91b6f694916f1a120b39c1cc6768db6430d7793168563539d"
"qc_vis_10_trans","F:\Programs\PcModWin5\Bin\Mod5.2.1.0.exe","5.2.1.0 (from executable filename; PE version field empty)","2026-09-06T21:03:59.7940194+08:00","tape6","D:\HwaSimIR\HwaSim_IR\Bin\Config\Atmosphere\MODTRAN\raw\audit_mwir_standard_20260906\qc_grid\qc_vis_10_trans\MODOUT1.txt","e5e209ec3046930889aeab2f4feed24d3a3121cf13a2c046cb1edc79334ceab0"
